epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,614.38,1.02132,0.80969,0.96912,0.67987,0.7518,0.72155,0.58884,1.04108,0.97556,1.02852,0.0003268,0.0003268,0.0003268
70,623.076,0.97964,0.7483,0.95681,0.7394,0.75423,0.75624,0.59627,1.10614,0.98374,1.05196,0.0003169,0.0003169,0.0003169
71,631.907,1.00229,0.79971,0.97232,0.68391,0.72442,0.72476,0.5772,1.06884,1.02263,1.04004,0.000307,0.000307,0.000307
72,641.059,0.96422,0.73157,0.94973,0.66942,0.74771,0.72245,0.5793,1.10683,0.9895,1.04767,0.0002971,0.0002971,0.0002971
73,652.463,1.07109,0.87163,0.98574,0.67223,0.71543,0.72307,0.58026,1.08484,0.97004,1.03943,0.0002872,0.0002872,0.0002872
74,663.284,1.00044,0.77042,0.94861,0.64028,0.72068,0.71225,0.578,1.05798,0.9643,1.02367,0.0002773,0.0002773,0.0002773
75,672.759,1.02028,0.79199,0.96449,0.64097,0.77041,0.71727,0.57715,1.09024,0.96039,1.04355,0.0002674,0.0002674,0.0002674
76,682.215,0.99841,0.77041,0.95157,0.68575,0.78464,0.71971,0.57115,1.11378,0.988,1.04799,0.0002575,0.0002575,0.0002575
77,692.091,0.99382,0.78428,0.96273,0.67663,0.76052,0.70463,0.56813,1.0924,1.00667,1.05066,0.0002476,0.0002476,0.0002476
78,700.504,0.99654,0.78437,0.95866,0.66603,0.71437,0.68718,0.56052,1.13884,1.02219,1.0722,0.0002377,0.0002377,0.0002377
79,708.894,0.99587,0.77085,0.96097,0.67632,0.76138,0.70152,0.56347,1.09898,0.98753,1.0557,0.0002278,0.0002278,0.0002278
80,717.951,1.03159,0.88671,1.03549,0.67829,0.74151,0.71301,0.56065,1.13356,0.99304,1.05785,0.0002179,0.0002179,0.0002179
81,727.258,1.0236,0.78822,0.94641,0.70224,0.74192,0.71597,0.56285,1.11447,1.02124,1.04464,0.000208,0.000208,0.000208
82,736.813,0.93357,0.71658,0.94225,0.68901,0.73865,0.7072,0.57119,1.08299,1.01773,1.04722,0.0001981,0.0001981,0.0001981
83,748.354,0.97652,0.7591,0.96903,0.70804,0.74123,0.71899,0.56841,1.08354,1.02262,1.04306,0.0001882,0.0001882,0.0001882
84,757.39,0.95262,0.75512,0.95765,0.70329,0.75624,0.72706,0.56592,1.10849,1.00686,1.04798,0.0001783,0.0001783,0.0001783
85,766.38,1.00128,0.77818,0.95652,0.69078,0.74615,0.71941,0.55991,1.08602,1.0226,1.04156,0.0001684,0.0001684,0.0001684
86,775.33,0.91153,0.71124,0.93407,0.67825,0.7193,0.71217,0.54706,1.08072,1.01573,1.03861,0.0001585,0.0001585,0.0001585
87,784.088,1.003,0.77253,0.95287,0.66155,0.72338,0.70801,0.56156,1.05355,0.98218,1.02665,0.0001486,0.0001486,0.0001486
88,792.69,0.93871,0.72201,0.93208,0.67845,0.74362,0.70775,0.56295,1.06025,0.98159,1.03418,0.0001387,0.0001387,0.0001387
89,801.306,0.931,0.71957,0.94238,0.65656,0.71207,0.68696,0.56062,1.07106,0.98559,1.03361,0.0001288,0.0001288,0.0001288
90,809.87,0.97569,0.7431,0.95126,0.67953,0.73767,0.71108,0.56585,1.07463,0.96583,1.0332,0.0001189,0.0001189,0.0001189
